fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-03-05,69,1,52,1,0.014492753623188406,0.019230769230769232
2020-03-13,57,2,46,1,0.03508771929824561,0.021739130434782608
2020-03-19,67,3,67,3,0.04477611940298507,0.04477611940298507
2020-03-24,66,1,60,1,0.015151515151515152,0.016666666666666666
2020-03-26,54,1,50,1,0.018518518518518517,0.02
2020-03-27,32,4,30,4,0.125,0.13333333333333333
2020-03-28,5,1,3,1,0.2,0.3333333333333333
2020-03-29,16,5,16,6,0.3125,0.375
2020-03-30,49,3,46,2,0.061224489795918366,0.043478260869565216
2020-03-31,26,4,24,4,0.15384615384615385,0.16666666666666666
2020-04-01,20,1,17,1,0.05,0.058823529411764705
2020-04-02,42,6,35,3,0.14285714285714285,0.08571428571428572
2020-04-03,31,4,24,4,0.12903225806451613,0.16666666666666666
2020-04-04,69,14,67,14,0.2028985507246377,0.208955223880597
2020-04-05,2337,536,2152,490,0.2293538724860933,0.22769516728624536
2020-04-06,944,218,806,180,0.2309322033898305,0.22332506203473945
2020-04-07,1283,174,1065,151,0.13561964146531566,0.14178403755868543
2020-04-08,1141,212,990,181,0.18580192813321647,0.18282828282828284
2020-04-09,572,109,495,91,0.19055944055944055,0.18383838383838383
2020-04-10,693,166,595,146,0.23953823953823955,0.2453781512605042
2020-04-11,236,77,222,71,0.326271186440678,0.31981981981981983
2020-04-12,169,75,135,60,0.4437869822485207,0.4444444444444444
2020-04-13,911,277,732,232,0.3040614709110867,0.31693989071038253
2020-04-14,878,244,724,195,0.27790432801822323,0.26933701657458564
2020-04-15,878,284,761,253,0.3234624145785877,0.3324572930354796
2020-04-16,1207,333,1050,269,0.275890637945319,0.2561904761904762
2020-04-17,1235,339,1062,288,0.2744939271255061,0.2711864406779661
2020-04-18,466,92,427,85,0.19742489270386265,0.1990632318501171
2020-04-19,251,133,225,114,0.5298804780876494,0.5066666666666667
2020-04-20,1110,425,932,359,0.38288288288288286,0.3851931330472103
2020-04-21,1524,462,1293,363,0.3031496062992126,0.28074245939675174
2020-04-22,1779,512,1545,434,0.28780213603147836,0.2809061488673139
