"","Overall","Value","Valor"
"1",94,"€110.5M",110500000
"2",94,"€77M",77000000
"3",92,"€118.5M",118500000
"4",91,"€72M",72000000
"5",91,"€102M",102000000
"6",91,"€93M",93000000
"7",91,"€67M",67000000
"8",91,"€80M",80000000
"9",91,"€51M",51000000
"10",90,"€68M",68000000
"11",90,"€77M",77000000
"12",90,"€76.5M",76500000
"13",90,"€44M",44000000
"14",90,"€60M",60000000
"15",89,"€63M",63000000
"16",89,"€89M",89000000
"17",89,"€83.5M",83500000
"18",89,"€78M",78000000
"19",89,"€58M",58000000
"20",89,"€53.5M",53500000
"21",89,"€51.5M",51500000
"22",89,"€60M",60000000
"23",89,"€38M",38000000
"24",89,"€64.5M",64500000
"25",89,"€27M",27000000
"26",88,"€81M",81000000
"27",88,"€69.5M",69500000
"28",88,"€59.5M",59500000
"29",88,"€69.5M",69500000
"30",88,"€62M",62000000
"31",88,"€73.5M",73500000
"32",88,"€73.5M",73500000
"33",88,"€69.5M",69500000
"34",88,"€59M",59000000
"35",88,"€46M",46000000
"36",88,"€43M",43000000
"37",88,"€60M",60000000
"38",88,"€36M",36000000
"39",88,"€57M",57000000
"40",88,"€24M",24000000
"41",88,"€30M",30000000
"42",88,"€4M",4000000
"43",87,"€57M",57000000
"44",87,"€64.5M",64500000
"45",87,"€51M",51000000
"46",87,"€64M",64000000
"47",87,"€30.5M",30500000
"48",87,"€62.5M",62500000
"49",87,"€52M",52000000
"50",87,"€38M",38000000
"51",87,"€45M",45000000
"52",87,"€34M",34000000
"53",87,"€46.5M",46500000
"54",87,"€46.5M",46500000
"55",87,"€34M",34000000
"56",86,"€61M",61000000
"57",86,"€59.5M",59500000
"58",86,"€41.5M",41500000
"59",86,"€52M",52000000
"60",86,"€44.5M",44500000
"61",86,"€56.5M",56500000
"62",86,"€53M",53000000
"63",86,"€50M",50000000
"64",86,"€55M",55000000
"65",86,"€36.5M",36500000
"66",86,"€46.5M",46500000
"67",86,"€45M",45000000
"68",86,"€45.5M",45500000
"69",86,"€43.5M",43500000
"70",86,"€35M",35000000
"71",86,"€30M",30000000
"72",86,"€39M",39000000
"73",86,"€44M",44000000
"74",86,"€30M",30000000
"75",86,"€43.5M",43500000
"76",86,"€18M",18000000
"77",86,"€21.5M",21500000
"78",85,"€46.5M",46500000
"79",85,"€50.5M",50500000
"80",85,"€54M",54000000
"81",85,"€50M",50000000
"82",85,"€36.5M",36500000
"83",85,"€40.5M",40500000
"84",85,"€50.5M",50500000
"85",85,"€40.5M",40500000
"86",85,"€38M",38000000
"87",85,"€45M",45000000
"88",85,"€45M",45000000
"89",85,"€37.5M",37500000
"90",85,"€28.5M",28500000
"91",85,"€37M",37000000
"92",85,"€37M",37000000
"93",85,"€32M",32000000
"94",85,"€37.5M",37500000
"95",85,"€39M",39000000
"96",85,"€30M",30000000
"97",85,"€26M",26000000
"98",85,"€37.5M",37500000
"99",85,"€30.5M",30500000
"100",85,"€33M",33000000
"101",85,"€38.5M",38500000
"102",85,"€35.5M",35500000
"103",85,"€9M",9000000
"104",85,"€26M",26000000
"105",85,"€15.5M",15500000
"106",85,"€37M",37000000
"107",85,"€21.5M",21500000
"108",85,"€22M",22000000
"109",85,"€9M",9000000
"110",85,"€14M",14000000
"111",84,"€34M",34000000
"112",84,"€34M",34000000
"113",84,"€32M",32000000
"114",84,"€34M",34000000
"115",84,"€40.5M",40500000
"116",84,"€36.5M",36500000
"117",84,"€42.5M",42500000
"118",84,"€42.5M",42500000
"119",84,"€34M",34000000
"120",84,"€35.5M",35500000
"121",84,"€31.5M",31500000
"122",84,"€38M",38000000
"123",84,"€39M",39000000
"124",84,"€31.5M",31500000
"125",84,"€42M",42000000
"126",84,"€37M",37000000
"127",84,"€25M",25000000
"128",84,"€31.5M",31500000
"129",84,"€29.5M",29500000
"130",84,"€29.5M",29500000
"131",84,"€30M",30000000
"132",84,"€27M",27000000
"133",84,"€24M",24000000
"134",84,"€22M",22000000
"135",84,"€31M",31000000
"136",84,"€24.5M",24500000
"137",84,"€32M",32000000
"138",84,"€27.5M",27500000
"139",84,"€29.5M",29500000
"140",84,"€25M",25000000
"141",84,"€30.5M",30500000
"142",84,"€24M",24000000
"143",84,"€29M",29000000
"144",84,"€24M",24000000
"145",84,"€27.5M",27500000
"146",84,"€16.5M",16500000
"147",84,"€23M",23000000
"148",84,"€19M",19000000
"149",84,"€25M",25000000
"150",84,"€19M",19000000
"151",84,"€18M",18000000
"152",84,"€30M",30000000
"153",84,"€4.2M",4200000
"154",84,"€15.5M",15500000
"155",84,"€15.5M",15500000
"156",83,"€40M",40000000
"157",83,"€41M",41000000
"158",83,"€28M",28000000
"159",83,"€22.5M",22500000
"160",83,"€28.5M",28500000
"161",83,"€30.5M",30500000
"162",83,"€34M",34000000
"163",83,"€34M",34000000
"164",83,"€35.5M",35500000
"165",83,"€34M",34000000
"166",83,"€29.5M",29500000
"167",83,"€36.5M",36500000
"168",83,"€34.5M",34500000
"169",83,"€33M",33000000
"170",83,"€34M",34000000
"171",83,"€30.5M",30500000
"172",83,"€32.5M",32500000
"173",83,"€27M",27000000
"174",83,"€33M",33000000
"175",83,"€32M",32000000
"176",83,"€20M",20000000
"177",83,"€35M",35000000
"178",83,"€28.5M",28500000
"179",83,"€30M",30000000
"180",83,"€34.5M",34500000
"181",83,"€25M",25000000
"182",83,"€26M",26000000
"183",83,"€28.5M",28500000
"184",83,"€33M",33000000
"185",83,"€32.5M",32500000
"186",83,"€31.5M",31500000
"187",83,"€31M",31000000
"188",83,"€27M",27000000
"189",83,"€24.5M",24500000
"190",83,"€24M",24000000
"191",83,"€26.5M",26500000
"192",83,"€19M",19000000
"193",83,"€26.5M",26500000
"194",83,"€30.5M",30500000
"195",83,"€25.5M",25500000
"196",83,"€26.5M",26500000
"197",83,"€21M",21000000
"198",83,"€21M",21000000
"199",83,"€21M",21000000
"200",83,"€25.5M",25500000
"201",83,"€24M",24000000
"202",83,"€13M",13000000
"203",83,"€19M",19000000
"204",83,"€21M",21000000
"205",83,"€26M",26000000
"206",83,"€30.5M",30500000
"207",83,"€27.5M",27500000
"208",83,"€19M",19000000
"209",83,"€26M",26000000
"210",83,"€17.5M",17500000
"211",83,"€20M",20000000
"212",83,"€24.5M",24500000
"213",83,"€15.5M",15500000
"214",83,"€16.5M",16500000
"215",83,"€20M",20000000
"216",83,"€20M",20000000
"217",83,"€20M",20000000
"218",83,"€17.5M",17500000
"219",83,"€13M",13000000
"220",83,"€22M",22000000
"221",83,"€24M",24000000
"222",83,"€11.5M",11500000
"223",83,"€13M",13000000
"224",83,"€8M",8000000
"225",83,"€6M",6000000
"226",82,"€19.5M",19500000
"227",82,"€27M",27000000
"228",82,"€29M",29000000
"229",82,"€32.5M",32500000
"230",82,"€29M",29000000
"231",82,"€16.5M",16500000
"232",82,"€6.5M",6500000
"233",82,"€14M",14000000
"234",82,"€29.5M",29500000
"235",82,"€29M",29000000
"236",82,"€25M",25000000
"237",82,"€31.5M",31500000
"238",82,"€21.5M",21500000
"239",82,"€25.5M",25500000
"240",82,"€26M",26000000
"241",82,"€26M",26000000
"242",82,"€24.5M",24500000
"243",82,"€20M",20000000
"244",82,"€29.5M",29500000
"245",82,"€30.5M",30500000
"246",82,"€24.5M",24500000
"247",82,"€29M",29000000
"248",82,"€25.5M",25500000
"249",82,"€26.5M",26500000
"250",82,"€25.5M",25500000
"251",82,"€26.5M",26500000
"252",82,"€20M",20000000
"253",82,"€30M",30000000
"254",82,"€26M",26000000
"255",82,"€26.5M",26500000
"256",82,"€21.5M",21500000
"257",82,"€22.5M",22500000
"258",82,"€22.5M",22500000
"259",82,"€20.5M",20500000
"260",82,"€23.5M",23500000
"261",82,"€21M",21000000
"262",82,"€18.5M",18500000
"263",82,"€27.5M",27500000
"264",82,"€29.5M",29500000
"265",82,"€21M",21000000
"266",82,"€28.5M",28500000
"267",82,"€18M",18000000
"268",82,"€23.5M",23500000
"269",82,"€26M",26000000
"270",82,"€26M",26000000
"271",82,"€28.5M",28500000
"272",82,"€28.5M",28500000
"273",82,"€22.5M",22500000
"274",82,"€21M",21000000
"275",82,"€21M",21000000
"276",82,"€26.5M",26500000
"277",82,"€18.5M",18500000
"278",82,"€19.5M",19500000
"279",82,"€21.5M",21500000
"280",82,"€19.5M",19500000
"281",82,"€27M",27000000
"282",82,"€22.5M",22500000
"283",82,"€21.5M",21500000
"284",82,"€21M",21000000
"285",82,"€22M",22000000
"286",82,"€18.5M",18500000
"287",82,"€21M",21000000
"288",82,"€17M",17000000
"289",82,"€21M",21000000
"290",82,"€25M",25000000
"291",82,"€18.5M",18500000
"292",82,"€12.5M",12500000
"293",82,"€22.5M",22500000
"294",82,"€20M",20000000
"295",82,"€22M",22000000
"296",82,"€21M",21000000
"297",82,"€18M",18000000
"298",82,"€21.5M",21500000
"299",82,"€9M",9000000
"300",82,"€17M",17000000
"301",82,"€12.5M",12500000
"302",82,"€12.5M",12500000
"303",82,"€23M",23000000
"304",82,"€15M",15000000
"305",82,"€20M",20000000
"306",82,"€15M",15000000
"307",82,"€19M",19000000
"308",82,"€15M",15000000
"309",82,"€12.5M",12500000
"310",82,"€13.5M",13500000
"311",82,"€12.5M",12500000
"312",82,"€12.5M",12500000
"313",82,"€13.5M",13500000
"314",82,"€12.5M",12500000
"315",82,"€4.8M",4800000
"316",82,"€8M",8000000
"317",82,"€8M",8000000
"318",82,"€3M",3000000
"319",82,"€1.5M",1500000
"320",81,"€27M",27000000
"321",81,"€17M",17000000
"322",81,"€26.5M",26500000
"323",81,"€21M",21000000
"324",81,"€26M",26000000
"325",81,"€20M",20000000
"326",81,"€24M",24000000
"327",81,"€26M",26000000
"328",81,"€21M",21000000
"329",81,"€25M",25000000
"330",81,"€24M",24000000
"331",81,"€17M",17000000
"332",81,"€20.5M",20500000
"333",81,"€22.5M",22500000
"334",81,"€18.5M",18500000
"335",81,"€24.5M",24500000
"336",81,"€24.5M",24500000
"337",81,"€21.5M",21500000
"338",81,"€22.5M",22500000
"339",81,"€17M",17000000
"340",81,"€20M",20000000
"341",81,"€24.5M",24500000
"342",81,"€19M",19000000
"343",81,"€20.5M",20500000
"344",81,"€24M",24000000
"345",81,"€19.5M",19500000
"346",81,"€22.5M",22500000
"347",81,"€16M",16000000
"348",81,"€22M",22000000
"349",81,"€18.5M",18500000
"350",81,"€18.5M",18500000
"351",81,"€25.5M",25500000
"352",81,"€22.5M",22500000
"353",81,"€20M",20000000
"354",81,"€17M",17000000
"355",81,"€18M",18000000
"356",81,"€21.5M",21500000
"357",81,"€18M",18000000
"358",81,"€21M",21000000
"359",81,"€16.5M",16500000
"360",81,"€15M",15000000
"361",81,"€17M",17000000
"362",81,"€22M",22000000
"363",81,"€23.5M",23500000
"364",81,"€18M",18000000
"365",81,"€22M",22000000
"366",81,"€17.5M",17500000
"367",81,"€17M",17000000
"368",81,"€19.5M",19500000
"369",81,"€16M",16000000
"370",81,"€13M",13000000
"371",81,"€19M",19000000
"372",81,"€21.5M",21500000
"373",81,"€16.5M",16500000
"374",81,"€17.5M",17500000
"375",81,"€17.5M",17500000
"376",81,"€18.5M",18500000
