genero,esto.civil,edad,satisfaccion.laboral,satisfaccion.profesional,vida.familiar,vida.social,salud,dinero,estado
MASCULINO,SOLTERO,25,80,90,70,80,BUENO,90,FELIZ
FEMENINO,CASADO,35,50,80,60,70,MALO,30,NO FELIZ
MASCULINO,DIVORCIADO,45,70,78,80,40,REGULAR,70,FELIZ
FEMENINO,VIUDO,54,50,80,60,80,BUENO,20,NO FELIZ
MASCULINO,CASADO,52,40,50,60,70,BUENO,60,NO FELIZ
FEMENINO,SOLTERO,28,50,60,54,60,MALO,50,NO FELIZ
MASCULINO,VIUDO,56,71.5,60.8,86.9,70.6,MALO,70,FELIZ
FEMENINO,DIVORCIADO,32,60,80,30,50,REGULAR,20,NO FELIZ
MASCULINO,CASADO,35,70,60,72,60,BUENO,70,FELIZ
FEMENINO,SOLTERO,29,80,80,90,60,MALO,80,FELIZ
MASCULINO,DIVORCIADO,45,60,60,70,50,REGULAR,90,FELIZ
FEMENINO,VIUDO,48,60,50,50,45.5,MALO,70,NO FELIZ
MASCULINO,CASADO,26,50,45,80,60,MALO,20,NO FELIZ
FEMENINO,SOLTERO,34,60,40,50,80,BUENO,65.9,FELIZ
MASCULINO,DIVORCIADO,42,50,65,56,62.58,REGULAR,33.5,NO FELIZ
FEMENINO,VIUDO,35,80,70,20,20,MALO,20.5,NO FELIZ
MASCULINO,CASADO,48,50,50,50,50,BUENO,49.5,FELIZ
FEMENINO,SOLTERO,34,54,80,56,60,REGULAR,55,FELIZ
MASCULINO,DIVORCIADO,34,60,70,80,50,MALO,100,FELIZ
FEMENINO,SOLTERO,32,40,50,80,90,BUENO,95,FELIZ
MASCULINO,SOLTERO,29,50,60,60,80,MALO,70,FELIZ
FEMENINO,SOLTERO,26,60,60,60,60,BUENO,60,FELIZ
MASCULINO,CASADO,45,60,60,60,60,BUENO,50,FELIZ
FEMENINO,VIUDO,45,50,60,60,30,REGULAR,35,NO FELIZ
MASCULINO,CASADO,28,50,40,80,30,MALO,30,NO FELIZ
FEMENINO,DIVORCIADO,32,80,70,40,40,MALO,40,NO FELIZ
MASCULINO,SOLTERO,36,65,60,62,87,REGULAR,56.5,FELIZ
FEMENINO,CASADO,40,45,50,40,90,MALO,60,NO FELIZ
MASCULINO,SOLTERO,41,60,60,60,60,BUENO,49,FELIZ
FEMENINO,VIUDO,38,80,70,30,40,BUENO,45,NO FELIZ
MASCULINO,CASADO,36,85,80,90,50,BUENO,80,FELIZ
FEMENINO,CASADO,38,60,80,90,80,BUENO,60,FELIZ
FEMENINO,CASADO,37,80,60,70,50,BUENO,60,FELIZ
FEMENINO,SOLTERO,40,60,80,40,50,REGULAR,30,NO FELIZ
MASCULINO,CASADO,40,60,70,50,30,BUENO,50,FELIZ
FEMENINO,CASADO,43,95,80,90,90,BUENO,80,FELIZ
MASCULINO,CASADO,55,70,70,65,89,MALO,75,FELIZ
MASCULINO,SOLTERO,45,65,70,45,65,BUENO,45,FELIZ
FEMENINO,CASADO,41,24,57,33,71,BUENO,100,NO FELIZ
FEMENINO,SOLTERO,40,80,80,90,30,REGULAR,50,FELIZ
MASCULINO,SOLTERO,39,60,80,48,50,BUENO,60,FELIZ
MASCULINO,SOLTERO,42,90,80,50,100,REGULAR,80,FELIZ
FEMENINO,SOLTERO,45,90,95,90,100,BUENO,90,FELIZ
MASCULINO,VIUDO,88,65,66,89,87,REGULAR,45,NO FELIZ
MASCULINO,CASADO,54,90,90,90,100,BUENO,75,FELIZ
MASCULINO,SOLTERO,80,80,80,90,90,BUENO,90,FELIZ
MASCULINO,SOLTERO,39,50,80,90,80,REGULAR,90,FELIZ
FEMENINO,SOLTERO,40,30,60,80,50,REGULAR,50,NO FELIZ
FEMENINO,SOLTERO,49,80,80,80,80,BUENO,70,FELIZ
MASCULINO,SOLTERO,39,60,80,48,50,REGULAR,50,NO FELIZ
FEMENINO,SOLTERO,30,100,100,100,100,BUENO,100,NO FELIZ
FEMENINO,SOLTERO,32,70,80,80,80,BUENO,80,FELIZ
