cve_ent,nombre,poblacion,confirmados
16046,Juarez,15290,203
16047,Jungapeo,22358,92
16048,Lagunillas,5862,53
16049,Madero,18769,72
5035,Torreon,744247,19402
5036,Viesca,23781,129
7012,Berriozabal,56971,224
11038,Tarandacuao,12978,419
11039,Tarimoro,36574,824
11040,Tierra Blanca,20238,380
7061,Ocozocoautla de Espinosa,100318,433
7062,Ostuacan,19969,25
12009,Atlamajalcingo del Monte,5284,12
12010,Atlixtac,28136,51
12013,Azoyu,13164,222
7092,Tecpatan,45447,40
7093,Tenejapa,47721,8
7094,Teopisca,47217,19
7096,Tila,85507,24
7097,Tonala,97839,530
7098,Totolapa,7894,5
7099,La Trinitaria,85344,33
7100,Tumbala,37381,18
13047,Pacula,5354,33
8054,Riva Palacio,8290,8
8055,Rosales,18394,147
8056,Rosario,2182,10
13061,Tepeapulco,58776,2147
14011,Atengo,5921,32
14051,Juanacatlan,19203,247
10037,Topia,9849,90
14120,Zapopan,1433360,26676
14121,Zapotiltic,31317,260
14122,Zapotitlan de Vadillo,7479,42
14123,Zapotlan del Rey,19347,114
14124,Zapotlanejo,72439,348
13071,Tlahuiltepa,10933,61
13072,Tlanalapa,11165,254
15021,Coatepec Harinas,41717,172
15029,Chicoloapan,226911,3536
15075,San Martin de las Piramides,29145,370
17024,Tlaltizapan de Zapata,55553,1014
17025,Tlaquiltenango,36147,649
19002,Agualeguas,2599,161
19003,Los Aldamas,1506,23
19004,Allende,38297,2031
19005,Anahuac,19976,235
19009,Cadereyta Jimenez,105145,5775
19011,Cerralvo,8324,561
19012,Cienega de Flores,50563,1679
19013,China,11962,171
19014,Doctor Arroyo,37859,1138
19015,Doctor Coss,1845,18
19031,Juarez,396864,9371
19032,Lampazos de Naranjo,5783,141
19033,Linares,88689,2794
19034,Marin,6199,52
20028,Heroica Ciudad de Ejutla de Crespo,21913,334
19037,Mina,5882,75
19038,Montemorelos,67657,3547
19039,Monterrey,1124835,55572
19048,Santa Catarina,322051,11931
19049,Santiago,46955,2303
19050,Vallecillo,1942,24
19051,Villaldama,4567,174
20068,Ocotlan de Morelos,22936,751
20002,Acatlan de Perez Figueroa,47616,146
20031,Tamazulapam del Espiritu Santo,7677,55
20005,Asuncion Ixtaltepec,15831,261
20006,Asuncion Nochixtlan,19655,311
20008,Asuncion Tlacolulita,804,1
20009,Ayotzintepec,7452,30
20010,El Barrio de la Soledad,14895,587
20012,Candelaria Loxicha,10829,18
20015,Coatecas Altas,4738,8
20018,Concepcion Buenavista,826,7
